"","Open","High","Low","Close"
"2007-01-02",50.0397819115463,50.1177772350145,49.9504146442813,50.1177772350145
"2007-01-03",50.2304961977954,50.421876002125,50.2304961977954,50.3976663383861
"2007-01-04",50.420955209067,50.420955209067,50.2641365663597,50.3323571013133
"2007-01-05",50.3734680543285,50.3734680543285,50.2210338242788,50.3345948961691
"2007-01-06",50.2443255196795,50.2443255196795,50.1112075487643,50.1811210391819
"2007-01-07",50.1321122972067,50.2156114607262,49.9918544993091,49.9918544993091
"2007-01-08",50.0355467742705,50.1036323973342,49.9697097184701,49.988063256042
"2007-01-09",49.9948860954217,49.9948860954217,49.8045358090165,49.913329335608
"2007-01-10",49.9122834457642,50.130525854306,49.9122834457642,49.9724600550638
"2007-01-11",49.8852887132391,50.239103712694,49.8852887132391,50.239103712694
"2007-01-12",50.2125821224916,50.359801769449,50.1717574121646,50.2851940807548
"2007-01-13",50.3238453485025,50.4799955346125,50.3238453485025,50.4128602347002
"2007-01-14",50.4635862266585,50.62395479761,50.4635862266585,50.6014452374366
"2007-01-15",50.6172355897254,50.6858336400418,50.4735909825374,50.4891214813319
"2007-01-16",50.620241173435,50.7373052873552,50.5662652106609,50.6783465243683
"2007-01-17",50.7414981135498,50.7733564529701,50.449321357316,50.4864408302735
"2007-01-18",50.4805101188755,50.6071189691962,50.4026921292911,50.5763196086684
"2007-01-19",50.4138129108681,50.5562734759594,50.4127813388677,50.4127813388677
"2007-01-20",50.3532310036568,50.3532310036568,50.0214153820363,50.0214153820363
"2007-01-21",50.1618813949374,50.4208972428836,50.1604405513317,50.4208972428836
"2007-01-22",50.3600836896748,50.4387454378126,50.2112913039383,50.2112913039383
"2007-01-23",50.0396626712588,50.1696064309279,50.0366991631639,50.1696064309279
"2007-01-24",50.1095259574076,50.2694187981265,50.063868338926,50.2314483010655
"2007-01-25",50.2073807897632,50.2826849790742,50.1291318545355,50.2433369933702
"2007-01-26",50.1600826681477,50.1600826681477,49.9405191078187,50.070242540723
"2007-01-27",50.0604060861532,50.0977658473744,49.9726670534334,50.0109145160256
"2007-01-28",49.9658575219043,50.0021694838495,49.8746804186122,49.8809633637625
"2007-01-29",49.8562442241656,49.930381203448,49.7630844122028,49.9187495029809
"2007-01-30",49.8547727815966,50.0218043126519,49.7724223081099,50.0218043126519
"2007-01-31",50.0704896508826,50.2257790634706,50.0704896508826,50.2257790634706
"2007-02-01",50.2244845229791,50.4137614515346,50.191012164208,50.3578435161537
