"height","finger","frequency"
4.63020833333333,9.4,0
4.63020833333333,9.5,0
4.63020833333333,9.6,0
4.63020833333333,9.7,0
4.63020833333333,9.8,0
4.63020833333333,9.9,0
4.63020833333333,10,1
4.63020833333333,10.1,0
4.63020833333333,10.2,0
4.63020833333333,10.3,0
4.63020833333333,10.4,0
4.63020833333333,10.5,0
4.63020833333333,10.6,0
4.63020833333333,10.7,0
4.63020833333333,10.8,0
4.63020833333333,10.9,0
4.63020833333333,11,0
4.63020833333333,11.1,0
4.63020833333333,11.2,0
4.63020833333333,11.3,0
4.63020833333333,11.4,0
4.63020833333333,11.5,0
4.63020833333333,11.6,0
4.63020833333333,11.7,0
4.63020833333333,11.8,0
4.63020833333333,11.9,0
4.63020833333333,12,0
4.63020833333333,12.1,0
4.63020833333333,12.2,0
4.63020833333333,12.3,0
4.63020833333333,12.4,0
4.63020833333333,12.5,0
4.63020833333333,12.6,0
4.63020833333333,12.7,0
4.63020833333333,12.8,0
4.63020833333333,12.9,0
4.63020833333333,13,0
4.63020833333333,13.1,0
4.63020833333333,13.2,0
4.63020833333333,13.3,0
4.63020833333333,13.4,0
4.63020833333333,13.5,0
4.71354166666667,9.4,0
4.71354166666667,9.5,0
4.71354166666667,9.6,0
4.71354166666667,9.7,0
4.71354166666667,9.8,0
4.71354166666667,9.9,0
4.71354166666667,10,0
4.71354166666667,10.1,0
4.71354166666667,10.2,0
4.71354166666667,10.3,1
4.71354166666667,10.4,0
4.71354166666667,10.5,0
4.71354166666667,10.6,0
4.71354166666667,10.7,0
4.71354166666667,10.8,0
4.71354166666667,10.9,0
4.71354166666667,11,0
4.71354166666667,11.1,0
4.71354166666667,11.2,0
4.71354166666667,11.3,0
4.71354166666667,11.4,0
4.71354166666667,11.5,0
4.71354166666667,11.6,0
4.71354166666667,11.7,0
4.71354166666667,11.8,0
4.71354166666667,11.9,0
4.71354166666667,12,0
4.71354166666667,12.1,0
4.71354166666667,12.2,0
4.71354166666667,12.3,0
4.71354166666667,12.4,0
4.71354166666667,12.5,0
4.71354166666667,12.6,0
4.71354166666667,12.7,0
4.71354166666667,12.8,0
4.71354166666667,12.9,0
4.71354166666667,13,0
4.71354166666667,13.1,0
4.71354166666667,13.2,0
4.71354166666667,13.3,0
4.71354166666667,13.4,0
4.71354166666667,13.5,0
4.796875,9.4,0
4.796875,9.5,0
4.796875,9.6,0
4.796875,9.7,0
4.796875,9.8,0
4.796875,9.9,1
4.796875,10,0
4.796875,10.1,0
4.796875,10.2,2
4.796875,10.3,1
4.796875,10.4,1
4.796875,10.5,0
4.796875,10.6,0
4.796875,10.7,1
4.796875,10.8,0
4.796875,10.9,0
4.796875,11,0
4.796875,11.1,0
4.796875,11.2,0
4.796875,11.3,0
4.796875,11.4,0
4.796875,11.5,0
4.796875,11.6,0
4.796875,11.7,0
4.796875,11.8,0
4.796875,11.9,0
4.796875,12,0
4.796875,12.1,0
4.796875,12.2,0
4.796875,12.3,0
4.796875,12.4,0
4.796875,12.5,0
4.796875,12.6,0
4.796875,12.7,0
4.796875,12.8,0
4.796875,12.9,0
4.796875,13,0
4.796875,13.1,0
4.796875,13.2,0
4.796875,13.3,0
4.796875,13.4,0
4.796875,13.5,0
4.88020833333333,9.4,0
4.88020833333333,9.5,0
4.88020833333333,9.6,0
4.88020833333333,9.7,0
4.88020833333333,9.8,0
4.88020833333333,9.9,0
4.88020833333333,10,1
4.88020833333333,10.1,1
4.88020833333333,10.2,2
4.88020833333333,10.3,3
4.88020833333333,10.4,1
4.88020833333333,10.5,1
4.88020833333333,10.6,1
4.88020833333333,10.7,2
4.88020833333333,10.8,2
4.88020833333333,10.9,0
4.88020833333333,11,2
